taxon	sequenceID	name	subgenus	isolate	orientation	country	sample_date
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AF074965	AF074965	-	-	G2	-	Venezuela	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AF139382	AF139382	-	-	-	-	Brazil:San Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AF326583	AF326583	-	-	-	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AF326584	AF326584	-	-	-	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AF412314	AF412314	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU212854	GU212854	-	-	Pygmy 550602	-	Cameroon	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/L11456	L11456	-	-	G12	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/L20734	L20734	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/LC440555	LC440555	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/LC440556	LC440556	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/LC534557	LC534557	-	-	-	-	Japan	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/NC_001815	NC_001815	-	-	STLV-2PP1664	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/U90557	U90557	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/X89270	X89270	-	-	patient Gu	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/Y13051	Y13051	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/Y14365	Y14365	-	-	pygmy2	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/Y14570	Y14570	-	-	STLV-2PP1664	-	-	-
