taxon	sequenceID	name	subgenus	isolate	orientation	country	sample_date
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AF074965	AF074965	-	-	G2	-	Venezuela	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AF139382	AF139382	-	-	-	-	Brazil:San Paulo	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AF326583	AF326583	-	-	-	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AF326584	AF326584	-	-	-	-	Brazil	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AF412314	AF412314	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/AX935546	AX935546	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/CQ918458	CQ918458	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/CS179600	CS179600	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/DD288397	DD288397	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/DL000264	DL000264	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/DL000266	DL000266	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/DL195008	DL195008	-	-	-	-	-	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU212854	GU212854	-	-	Pygmy 550602	-	Cameroon	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586109	GU586109	-	-	MA_BMJ	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586110	GU586110	-	-	MA_DGE	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586111	GU586111	-	-	MA_FRM	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586112	GU586112	-	-	MA_MSC	-	Spain	-
alignment/AL_PTLV2/member/ncbi-curated-ptlv2/GU586113	GU586113	-	-	MA_JSR	-	Spain	-
